legislador_id,PC1,PC2,PC3,agrupacion,agrupacion_color,camara,mail,nombre,partido
1,-2.9210463800137365,2.7188483171161075,1.5115049943838765,Kirchnerismo/PJ,#A5D4E5,senadores,nabdaladem@diputados.gob.ar,"Abdala de Matarazzo,  Norma Amanda",FRENTE CÍVICO POR SANTIAGO
11,3.7161538153374245,4.6658894068688435,-2.4768254067892457,Kirchnerismo y aliados,#A5D4E5,senadores,hilda.aguirre@senado.gov.ar ,"AGUIRRE.,  Hilda Clelia",
24,-3.05395523944446,2.719290506691877,1.9078440019246967,Kirchnerismo/PJ,#A5D4E5,senadores,malvarezr@diputados.gob.ar,"ALVAREZ RODRIGUEZ.,  Cristina",FRENTE PARA LA VICTORIA
29,-0.5618944027339995,-1.4955449157199485,1.149811657547276,Cambiemos,#FEDB30,senadores,eamadeo@diputados.gob.ar,"AMADEO.,  Eduardo Pablo",PRO
45,-0.761369219034929,-1.586928892186226,-2.058577387020489,Cambiemos,#FEDB30,senadores,aasseff@diputados.gob.ar,"ASSEFF,  Alberto Emilio",PRO
63,-1.2405703448550878,-1.4870491348268002,3.154338183986012,Kirchnerismo/PJ,#A5D4E5,senadores, lbasterra@diputados.gob.ar,"BASTERRA,  Luis Eugenio",FRENTE PARA LA VICTORIA
65,-2.4538726645449898,-3.136380342439228,-1.1551673589854379,Cambiemos,#FEDB30,senadores,mbazze@diputados.gob.ar,"BAZZE,  Miguel Ángel",UNIÓN CÍVICA RADICAL
71,-1.587979056207072,-2.07539870195635,-2.7855137167910793,Cambiemos,#FEDB30,senadores,,"BENEDETTI,  Atilio Francisco Salvador",UNIÓN CÍVICA RADICAL
73,-1.3602264546826484,2.749481169254708,-0.7927888127081136,Kirchnerismo/PJ,#A5D4E5,senadores,,"BERNAZZA,  Claudia Alicia",FRENTE DE TODOS
76,-1.75725281770367,3.5945126405226686,-1.0614739942005174,Kirchnerismo/PJ,#A5D4E5,senadores,,"BERTONE,  Rosana Andrea",FRENTE DE TODOS
80,-1.0305396485547837,-1.3289096447521622,2.761473302566348,Peronismo no K,#00FF50,senadores,ibianchi@diputados.gob.ar,"BIANCHI,  Ivana María",UNIDAD JUSTICIALISTA
91,-1.1835740974054956,-1.8457959918160154,2.61692237447928,Cambiemos,#FEDB30,senadores, lborsani@diputados.gob.ar,"BORSANI.,  Luis Gustavo",UNIÓN CÍVICA RADICAL
93,-1.7572528177037647,3.594512640522698,-1.061473994200486,Kirchnerismo/PJ,#A5D4E5,senadores,mbrawer@diputados.gob.ar,"BRAWER,  Mara",FRENTE DE TODOS
95,0.9587261548417416,-0.40586336785174454,0.1725512320984256,Cambiemos,#FEDB30,senadores,,"BRIZUELA Y DORIA DE CARA,  Olga Inés",
98,-1.5116956703235316,2.98813628410717,-0.9330718651361981,Kirchnerismo/PJ,#A5D4E5,senadores,,"BRUE,  Daniel Agustín",FRENTE DE TODOS
99,2.052435603760584,-0.46945211138744714,0.5780920947806223,Cambiemos,#FEDB30,senadores,,"BULLRICH,  Esteban José",
101,-1.3238127236080863,-1.8540107971111341,-3.2057985237828652,Cambiemos,#FEDB30,senadores,rburyaile@diputados.gob.ar,"BURYAILE,  Ricardo",UNIÓN CÍVICA RADICAL
